"VAF_categories","Tumor_mutations_tally","Tumor_mutations_percentage","Nail_mutations_tally","Nail_mutations_percentage","Nail_myeloid_mutation_tally","Nail_lymphoid_mutation_tally"
"90-100",90,0.822518735148967,0,0,0,0
"80-89",157,1.43483823798209,0,0,0,0
"70-79",169,1.54450740266862,0,0,0,0
"60-69",177,1.6176201791263,0,0,0,0
"50-59",323,2.95192834947907,1,0.119617224880383,1,0
"40-49",1646,15.0429537561689,1,0.119617224880383,1,0
"30-39",1919,17.5379272527874,4,0.478468899521531,4,0
"20-29",1748,15.9751416560044,22,2.63157894736842,22,0
"10-19",1914,17.4922317675014,57,6.81818181818182,48,9
"5-9",1809,16.5326265764942,119,14.2344497607655,108,11
"2-4",926,8.46280387497715,270,32.2966507177034,245,25
"1-2",64,0.584902211661488,318,43.3014354066986,245,73
