"OncoTree_Code","patient_with_mutations","tally"
"ALAL","false",77
"AML","false",1498
"BPDCN","false",2
"HDCN","false",239
"MCD","false",28
"MDS","false",1004
"MDS/MPN","false",259
"MDS_Workup","false",144
"MLNER","false",4
"MPN","false",607
"MPN_Workup","false",103
"BLL","false",534
"HL","false",12
"LATL","false",46
"MBN","false",3566
"MTNN","false",1731
"PCM","false",267
"TLL","false",29
"Myeloid","false",3965
"Lymphoid","false",6185
"Grand Total","false",10150
"ALAL","true",2
"AML","true",142
"BPDCN","true",0
"HDCN","true",9
"MCD","true",7
"MDS","true",152
"MDS/MPN","true",72
"MDS_Workup","true",23
"MLNER","true",0
"MPN","true",255
"MPN_Workup","true",12
"BLL","true",9
"HL","true",0
"LATL","true",3
"MBN","true",26
"MTNN","true",69
"PCM","true",11
"TLL","true",0
"Myeloid","true",674
"Lymphoid","true",118
"Grand Total","true",792
