"sampleid","method","Fragment Size Median","Fragment Size First Quartile","Fragment Size Third Quartile"
1,"Method 1",113,84,149
2,"Method 1",95,71,130
3,"Method 1",119,89,156
4,"Method 1",117,88,150
5,"Method 1",98,74,129
6,"Method 1",133,98,173
7,"Method 1",133,98,173
8,"Method 1",90,68,124
9,"Method 1",106,81,138
10,"Method 1",112,81,152
11,"Method 1",110,81,148
12,"Method 1",104,77,142
13,"Method 1",98,76,127
14,"Method 1",101,79,133
15,"Method 1",100,75,133
16,"Method 1",111,83,149
17,"Method 1",109,78,151
18,"Method 1",133,99,174
19,"Method 1",111,81,149
20,"Method 1",111,79,153
21,"Method 1",110,78,153
22,"Method 1",97,70,133
23,"Method 1",122,90,161
24,"Method 1",139,94,198
25,"Method 1",124,92,164
26,"Method 1",101,73,138
27,"Method 1",110,79,150
28,"Method 1",111,81,151
29,"Method 1",117,83,161
30,"Method 1",119,89,156
31,"Method 1",111,81,149
32,"Method 1",109,83,146
33,"Method 1",91,72,114
34,"Method 1",108,83,137
35,"Method 1",113,84,150
36,"Method 1",125,94,163
37,"Method 1",95,71,127
38,"Method 1",121,88,163
39,"Method 1",105,80,133
40,"Method 1",124,93,161
41,"Method 1",116,87,155
42,"Method 1",95,71,127
43,"Method 1",121,88,163
44,"Method 1",105,80,133
45,"Method 1",124,93,161
46,"Method 1",116,87,155
47,"Method 1",115,87,153
48,"Method 1",125,94,164
49,"Method 1",113,88,144
50,"Method 1",114,83,154
51,"Method 1",100,75,135
52,"Method 1",125,88,174
53,"Method 1",122,85,170
54,"Method 1",114,85,150
55,"Method 1",98,74,129
56,"Method 1",109,80,144
57,"Method 1",112,83,150
58,"Method 1",117,89,153
59,"Method 1",113,84,148
60,"Method 1",113,84,149
61,"Method 1",117,88,155
62,"Method 1",128,94,170
63,"Method 1",110,83,144
64,"Method 1",106,79,140
65,"Method 1",131,98,173
66,"Method 1",89,68,118
67,"Method 1",116,86,155
68,"Method 1",133,99,174
69,"Method 1",117,88,150
70,"Method 1",105,79,138
71,"Method 1",109,80,147
72,"Method 1",103,78,136
73,"Method 1",104,78,138
74,"Method 1",104,77,143
75,"Method 1",89,68,118
76,"Method 1",116,86,155
77,"Method 1",94,71,129
78,"Method 1",99,77,128
79,"Method 1",127,98,163
80,"Method 1",100,75,135
81,"Method 1",116,88,152
82,"Method 1",116,86,155
83,"Method 1",117,88,150
84,"Method 1",133,99,174
85,"Method 1",108,82,135
86,"Method 1",99,79,120
87,"Method 1",127,94,166
88,"Method 1",121,90,159
89,"Method 1",111,80,151
90,"Method 1",126,92,169
91,"Method 1",98,77,127
92,"Method 1",111,80,151
93,"Method 1",68,56,84
94,"Method 1",87,69,114
95,"Method 1",107,82,141
96,"Method 1",123,92,163
97,"Method 1",99,77,128
98,"Method 1",121,90,159
99,"Method 1",127,98,163
100,"Method 1",127,91,173
101,"Method 1",119,90,153
102,"Method 1",126,93,169
103,"Method 1",107,80,143
104,"Method 1",132,98,176
105,"Method 1",110,82,146
